Unit,Unit Name,ID,Text,Comment
MWAgent/frmAbout,About Form,lblClientVersion.Text,1.0.0.0,
MWAgent/frmAbout,About Form,lblLink.Text,www.mwagent.com,
MWAgent/frmAbout,About Form,lblServiceVersion.Text,1.0.0.0,
MWAgent/frmAbout,About Form,lblTitle.Text,Über MonitorWare Agent,PROTECTED_TERM: preserve product name exactly; translate surrounding UI words when appropriate
MWAgent/frmMain,Main Form,$this.Text,MonitorWare Agent Konfigurationsclient,PROTECTED_TERM: preserve product name exactly; translate surrounding UI words when appropriate
MWAgent/frmMain,Main Form,mnuHelpAbout.Text,Über MonitorWare Agent,PROTECTED_TERM: preserve product name exactly; translate surrounding UI words when appropriate
