Unit,Unit Name,ID,English,Sprache,Comment
CFGEvntSLog/frmAbout,About Form,lblClientVersion.Text,1.0.0.0,,
CFGEvntSLog/frmAbout,About Form,lblLink.Text,www.eventreporter.com,,
CFGEvntSLog/frmAbout,About Form,lblServiceVersion.Text,1.0.0.0,,
CFGEvntSLog/frmAbout,About Form,lblTitle.Text,About EventReporter,Informazioni su EventReporter,
CFGEvntSLog/frmMain,Main Form,$this.Text,EventReporter Configuration Client,EventReporter Client di configurazione,
CFGEvntSLog/frmMain,Main Form,mnuHelpAbout.Text,About EventReporter,Informazioni su EventReporter,
